#time_tag                 bx_gsm     by_gsm     bz_gsm     lon_gsm    lat_gsm    bt        
 2023-07-17 00:00:00.000  8.96       -10.49     1.14       310.49     4.74       13.84     
 2023-07-17 00:01:00.000  8.76       -10.61     1.11       309.56     4.63       13.80     
 2023-07-17 00:02:00.000  8.70       -10.61     1.07       309.36     4.45       13.76     
 2023-07-17 00:03:00.000  8.24       -10.92     1.36       307.04     5.68       13.74     
 2023-07-17 00:04:00.000  8.20       -10.96     1.37       306.80     5.73       13.75     
 2023-07-17 00:05:00.000  8.16       -10.99     1.22       306.60     5.10       13.74     
 2023-07-17 00:06:00.000  8.11       -10.97     1.27       306.48     5.32       13.71     
 2023-07-17 00:07:00.000  7.99       -11.00     1.56       305.99     6.56       13.68     
 2023-07-17 00:08:00.000  8.00       -10.93     1.81       306.23     7.61       13.66     
 2023-07-17 00:09:00.000  8.06       -10.82     1.92       306.67     8.11       13.63     
 2023-07-17 00:10:00.000  7.99       -10.86     1.65       306.34     6.99       13.58     
 2023-07-17 00:11:00.000  7.96       -10.70     2.27       306.66     9.66       13.53     
 2023-07-17 00:12:00.000  8.02       -10.65     1.62       306.99     6.95       13.43     
 2023-07-17 00:13:00.000  8.08       -10.61     1.30       307.29     5.58       13.40     
 2023-07-17 00:14:00.000  8.05       -10.67     1.38       307.01     5.90       13.44     
 2023-07-17 00:15:00.000  8.15       -10.54     1.31       307.72     5.61       13.38     
 2023-07-17 00:16:00.000  7.67       -10.58     2.43       305.94     10.52      13.29     
 2023-07-17 00:17:00.000  7.71       -10.60     2.13       306.04     9.25       13.28     
 2023-07-17 00:18:00.000  7.81       -10.53     2.08       306.56     9.01       13.27     
 2023-07-17 00:19:00.000  7.59       -10.59     2.27       305.64     9.90       13.23     
 2023-07-17 00:20:00.000  7.69       -10.62     1.92       305.91     8.31       13.25     
 2023-07-17 00:21:00.000  7.86       -10.32     1.98       307.27     8.68       13.12     
 2023-07-17 00:22:00.000  7.91       -10.34     2.05       307.40     8.97       13.18     
 2023-07-17 00:23:00.000  7.74       -10.48     2.00       306.44     8.73       13.18     
 2023-07-17 00:24:00.000  7.86       -10.37     1.60       307.14     7.01       13.11     
 2023-07-17 00:25:00.000  7.74       -10.08     1.29       307.52     5.82       12.77     
 2023-07-17 00:26:00.000  7.76       -10.08     1.19       307.60     5.36       12.78     
 2023-07-17 00:27:00.000  7.46       -10.32     1.27       305.88     5.70       12.80     
 2023-07-17 00:28:00.000  7.71       -10.29     1.11       306.85     4.94       12.91     
 2023-07-17 00:29:00.000  7.71       -10.27     1.33       306.91     5.91       12.91     
 2023-07-17 00:30:00.000  7.60       -10.33     1.41       306.35     6.26       12.90     
 2023-07-17 00:31:00.000  7.69       -10.25     1.27       306.86     5.66       12.88     
 2023-07-17 00:32:00.000  7.53       -10.32     1.23       306.12     5.50       12.83     
 2023-07-17 00:33:00.000  7.32       -10.39     1.49       305.18     6.68       12.80     
 2023-07-17 00:34:00.000  7.47       -10.26     1.44       306.06     6.48       12.77     
 2023-07-17 00:35:00.000  7.59       -10.10     1.23       306.90     5.56       12.69     
 2023-07-17 00:36:00.000  7.58       -10.10     1.23       306.87     5.55       12.69     
 2023-07-17 00:37:00.000  7.71       -10.05     1.23       307.48     5.53       12.73     
 2023-07-17 00:38:00.000  7.62       -10.12     1.14       306.96     5.15       12.72     
 2023-07-17 00:39:00.000  7.54       -10.14     0.97       306.64     4.37       12.67     
 2023-07-17 00:40:00.000  7.47       -10.16     0.76       306.32     3.45       12.64     
 2023-07-17 00:41:00.000  7.49       -10.17     0.89       306.37     4.05       12.66     
 2023-07-17 00:42:00.000  7.42       -10.18     1.17       306.10     5.30       12.65     
 2023-07-17 00:43:00.000  7.19       -10.22     1.44       305.14     6.56       12.57     
 2023-07-17 00:44:00.000  7.18       -10.30     0.90       304.87     4.10       12.59     
 2023-07-17 00:45:00.000  7.16       -10.27     0.87       304.88     3.96       12.55     
 2023-07-17 00:46:00.000  7.07       -10.30     1.26       304.47     5.76       12.56     
 2023-07-17 00:47:00.000  6.98       -10.35     1.35       303.99     6.16       12.56     
 2023-07-17 00:48:00.000  6.99       -10.39     1.01       303.92     4.60       12.57     
 2023-07-17 00:49:00.000  6.85       -10.51     1.02       303.11     4.63       12.58     
 2023-07-17 00:50:00.000  7.03       -10.44     1.56       303.95     7.05       12.68     
 2023-07-17 00:51:00.000  7.23       -10.35     1.79       304.94     8.06       12.75     
 2023-07-17 00:52:00.000  7.27       -10.55     1.09       304.57     4.86       12.85     
 2023-07-17 00:53:00.000  7.25       -10.56     0.84       304.46     3.74       12.84     
 2023-07-17 00:54:00.000  7.16       -10.63     0.83       303.96     3.72       12.84     
 2023-07-17 00:55:00.000  7.18       -10.60     1.20       304.11     5.37       12.85     
 2023-07-17 00:56:00.000  7.13       -10.66     1.01       303.78     4.49       12.87     
 2023-07-17 00:57:00.000  7.17       -10.49     1.79       304.35     8.01       12.83     
 2023-07-17 00:58:00.000  7.15       -10.51     1.21       304.25     5.45       12.77     
 2023-07-17 00:59:00.000  7.38       -10.37     0.85       305.45     3.82       12.76     
 2023-07-17 01:00:00.000  7.63       -10.21     0.55       306.77     2.46       12.76     
 2023-07-17 01:01:00.000  7.60       -10.23     0.47       306.59     2.10       12.75     
 2023-07-17 01:02:00.000  7.55       -10.22     0.62       306.45     2.81       12.73     
 2023-07-17 01:03:00.000  7.50       -10.24     0.84       306.22     3.79       12.72     
 2023-07-17 01:04:00.000  7.43       -10.18     2.04       306.12     9.19       12.76     
 2023-07-17 01:05:00.000  7.47       -10.16     2.05       306.31     9.23       12.77     
 2023-07-17 01:06:00.000  7.43       -10.22     1.89       306.01     8.49       12.77     
 2023-07-17 01:07:00.000  7.56       -10.06     1.98       306.90     8.96       12.74     
 2023-07-17 01:08:00.000  7.51       -10.15     1.72       306.51     7.76       12.74     
 2023-07-17 01:09:00.000  7.34       -10.22     2.13       305.70     9.60       12.76     
 2023-07-17 01:10:00.000  7.33       -10.21     2.23       305.68     10.07      12.76     
 2023-07-17 01:11:00.000  7.43       -10.04     2.41       306.50     10.94      12.72     
 2023-07-17 01:12:00.000  7.48       -9.93      2.58       306.97     11.72      12.70     
 2023-07-17 01:13:00.000  7.41       -9.89      3.04       306.86     13.84      12.73     
 2023-07-17 01:14:00.000  7.54       -9.90      2.74       307.27     12.42      12.74     
 2023-07-17 01:15:00.000  7.58       -9.91      2.91       307.41     13.14      12.81     
 2023-07-17 01:16:00.000  7.46       -9.94      2.90       306.87     13.12      12.76     
 2023-07-17 01:17:00.000  7.61       -9.87      2.72       307.63     12.33      12.75     
 2023-07-17 01:18:00.000  7.64       -9.79      2.77       307.98     12.56      12.73     
 2023-07-17 01:19:00.000  7.65       -9.83      2.76       307.89     12.51      12.76     
 2023-07-17 01:20:00.000  7.62       -9.75      2.87       308.01     13.06      12.70     
 2023-07-17 01:21:00.000  7.45       -9.86      2.89       307.08     13.17      12.69     
 2023-07-17 01:22:00.000  7.31       -9.96      2.81       306.28     12.80      12.67     
 2023-07-17 01:23:00.000  7.07       -10.13     2.76       304.90     12.61      12.66     
 2023-07-17 01:24:00.000  7.22       -9.96      2.90       305.96     13.27      12.64     
 2023-07-17 01:25:00.000  7.29       -9.82      3.09       306.58     14.18      12.61     
 2023-07-17 01:26:00.000  7.18       -9.85      3.07       306.10     14.15      12.57     
 2023-07-17 01:27:00.000  7.46       -9.67      3.00       307.64     13.79      12.58     
 2023-07-17 01:28:00.000  7.59       -9.58      2.94       308.37     13.53      12.57     
 2023-07-17 01:29:00.000  7.52       -9.59      3.04       308.10     14.00      12.55     
 2023-07-17 01:30:00.000  7.46       -9.54      3.27       308.01     15.10      12.54     
