#time_tag                 density      speed        temperature 
 2023-07-17 00:00:00.000  0.02         378.5        156511      
 2023-07-17 00:01:00.000  0.03         406.4        165780      
 2023-07-17 00:02:00.000  0.03         427.2        162530      
 2023-07-17 00:03:00.000  0.03         429.3        160724      
 2023-07-17 00:04:00.000  0.03         422.6        184957      
 2023-07-17 00:05:00.000  0.03         425.8        240987      
 2023-07-17 00:06:00.000  0.04         431.1        258802      
 2023-07-17 00:07:00.000  0.03         421.3        231182      
 2023-07-17 00:08:00.000  0.03         435.3        229121      
 2023-07-17 00:09:00.000  0.04         454.1        273935      
 2023-07-17 00:10:00.000  0.03         437.6        228344      
 2023-07-17 00:11:00.000  0.02         435.0        187577      
 2023-07-17 00:12:00.000  0.03         445.1        246757      
 2023-07-17 00:13:00.000  0.02         472.3        533162      
 2023-07-17 00:14:00.000  0.02         474.7        263567      
 2023-07-17 00:15:00.000  0.02         466.3        197552      
 2023-07-17 00:16:00.000  0.07         476.9        215536      
 2023-07-17 00:17:00.000  0.07         466.0        197240      
 2023-07-17 00:18:00.000  0.08         474.5        253517      
 2023-07-17 00:19:00.000  0.07         469.5        238671      
 2023-07-17 00:20:00.000  0.05         451.0        134697      
 2023-07-17 00:21:00.000  0.05         477.5        195834      
 2023-07-17 00:22:00.000  0.07         525.5        373842      
 2023-07-17 00:23:00.000  0.07         551.7        521988      
 2023-07-17 00:24:00.000  0.07         550.3        516184      
 2023-07-17 00:25:00.000  0.10         542.4        488713      
 2023-07-17 00:26:00.000  0.08         529.3        462715      
 2023-07-17 00:27:00.000  0.05         549.8        485832      
 2023-07-17 00:28:00.000  0.07         501.8        277106      
 2023-07-17 00:29:00.000  0.03         460.2        103505      
 2023-07-17 00:30:00.000  0.08         494.0        337394      
 2023-07-17 00:31:00.000  0.08         495.9        327841      
 2023-07-17 00:32:00.000  0.07         489.1        286460      
 2023-07-17 00:33:00.000  0.06         497.4        339522      
 2023-07-17 00:34:00.000  0.06         503.5        378308      
 2023-07-17 00:35:00.000  0.07         510.8        379108      
 2023-07-17 00:36:00.000  0.08         512.7        368921      
 2023-07-17 00:37:00.000  0.06         503.3        333308      
 2023-07-17 00:38:00.000  0.05         486.9        249983      
 2023-07-17 00:39:00.000  0.07         482.2        208179      
 2023-07-17 00:40:00.000  0.08         513.6        301031      
 2023-07-17 00:41:00.000  0.08         502.2        247997      
 2023-07-17 00:42:00.000  0.06         523.6        449211      
 2023-07-17 00:43:00.000  0.06         514.0        287049      
 2023-07-17 00:44:00.000  0.06         523.5        319960      
 2023-07-17 00:45:00.000  0.07         512.9        297982      
 2023-07-17 00:46:00.000  0.08         511.1        364105      
 2023-07-17 00:47:00.000  0.09         500.5        287767      
 2023-07-17 00:48:00.000  0.08         501.1        268183      
 2023-07-17 00:49:00.000  0.09         497.4        317563      
 2023-07-17 00:50:00.000  0.09         481.5        315573      
 2023-07-17 00:51:00.000  0.08         471.0        279128      
 2023-07-17 00:52:00.000  0.09         463.3        232576      
 2023-07-17 00:53:00.000  0.10         458.0        202631      
 2023-07-17 00:54:00.000  0.10         458.3        213844      
 2023-07-17 00:55:00.000  0.10         452.8        223236      
 2023-07-17 00:56:00.000  0.10         463.8        227622      
 2023-07-17 00:57:00.000  0.10         462.1        223040      
 2023-07-17 00:58:00.000  0.12         450.2        193712      
 2023-07-17 00:59:00.000  0.11         442.4        200065      
 2023-07-17 01:00:00.000  0.10         453.4        200143      
 2023-07-17 01:01:00.000  0.12         441.4        183798      
 2023-07-17 01:02:00.000  0.14         434.1        170649      
 2023-07-17 01:03:00.000  0.13         434.0        164586      
 2023-07-17 01:04:00.000  0.12         448.3        173996      
 2023-07-17 01:05:00.000  0.10         460.2        187592      
 2023-07-17 01:06:00.000  0.09         479.3        273054      
 2023-07-17 01:07:00.000  0.09         479.3        281977      
 2023-07-17 01:08:00.000  0.08         469.7        234554      
