    TIME |        SOLAR POSITION |      ANTENNA POSITION |
HH:MM:SS |    Azimuth  Elevation |    Azimuth  Elevation |
----------------------------------------------------------
06:45:01       82.578     10.304       82.572     10.299
06:46:07       82.736     10.522       82.739     10.526
06:47:08       82.882     10.724       82.883     10.726
06:48:09       83.028     10.926       83.029     10.928
06:49:10       83.174     11.128       83.176     11.132
06:50:12       83.322     11.334       83.322     11.334
06:51:13       83.468     11.536       83.469     11.538
06:52:14       83.614     11.738       83.615     11.740
06:53:15       83.760     11.941       83.761     11.941
06:54:16       83.906     12.143       83.909     12.145
06:55:17       84.052     12.346       84.053     12.348
06:56:18       84.199     12.548       84.200     12.552
06:57:20       84.347     12.754       84.347     12.755
06:58:21       84.493     12.957       84.494     12.959
06:59:22       84.640     13.160       84.641     13.162
07:00:23       84.786     13.363       84.787     13.365
07:01:24       84.932     13.566       84.935     13.568
07:02:25       85.079     13.769       85.080     13.771
07:03:26       85.225     13.972       85.227     13.977
07:04:27       85.372     14.176       85.374     14.179
07:05:29       85.521     14.382       85.521     14.382
07:06:30       85.668     14.586       85.667     14.587
07:07:31       85.814     14.789       85.815     14.790
07:08:32       85.961     14.993       85.962     14.994
07:09:33       86.108     15.196       86.110     15.200
07:10:34       86.255     15.400       86.258     15.403
07:11:35       86.402     15.603       86.404     15.605
07:12:37       86.552     15.810       86.552     15.810
07:13:38       86.699     16.014       86.699     16.014
07:14:39       86.847     16.218       86.848     16.220
07:15:40       86.994     16.422       86.995     16.423
07:16:41       87.142     16.625       87.143     16.627
07:17:42       87.290     16.829       87.292     16.832
07:18:43       87.437     17.033       87.440     17.037
07:19:45       87.588     17.241       87.588     17.241
07:20:46       87.736     17.445       87.736     17.445
07:21:47       87.884     17.649       87.884     17.649
07:22:48       88.033     17.853       88.034     17.855
07:23:49       88.181     18.057       88.182     18.058
07:24:50       88.330     18.261       88.331     18.264
07:25:51       88.479     18.465       88.481     18.469
07:26:52       88.628     18.669       88.630     18.672
07:27:54       88.779     18.877       88.779     18.877
07:28:55       88.929     19.081       88.930     19.081
07:29:56       89.078     19.285       89.078     19.287
07:30:57       89.228     19.489       89.229     19.491
07:31:58       89.378     19.694       89.379     19.700
07:32:59       89.528     19.898       89.530     19.901
07:34:00       89.678     20.102       89.680     20.106
07:35:02       89.831     20.310       89.831     20.310
07:36:03       89.981     20.514       89.983     20.514
07:37:04       90.132     20.718       90.133     20.718
07:38:05       90.283     20.923       90.284     20.925
07:39:06       90.434     21.127       90.435     21.129
07:40:07       90.586     21.331       90.587     21.335
07:41:08       90.737     21.536       90.740     21.540
07:42:09       90.889     21.740       90.892     21.745
07:43:11       91.044     21.948       91.044     21.947
07:44:12       91.196     22.152       91.197     22.152
07:45:13       91.349     22.356       91.350     22.358
07:46:14       91.502     22.560       91.503     22.562
07:47:15       91.655     22.765       91.656     22.768
07:48:16       91.808     22.969       91.810     22.972
07:49:17       91.962     23.173       91.964     23.176
07:50:19       92.118     23.381       92.118     23.380
07:51:20       92.272     23.585       92.272     23.585
07:52:21       92.427     23.789       92.428     23.791
07:53:22       92.581     23.993       92.583     23.995
07:54:23       92.736     24.198       92.738     24.199
07:55:24       92.892     24.402       92.894     24.405
07:56:25       93.047     24.606       93.050     24.610
07:57:27       93.205     24.813       93.206     24.815
07:58:28       93.362     25.017       93.362     25.017
07:59:29       93.518     25.222       93.519     25.222
08:00:30       93.675     25.426       93.676     25.427
08:01:31       93.832     25.630       93.833     25.631
08:02:32       93.989     25.833       93.992     25.837
08:03:33       94.147     26.037       94.150     26.041
08:04:34       94.305     26.241       94.308     26.245
08:05:36       94.466     26.448       94.466     26.448
08:06:37       94.625     26.652       94.625     26.652
08:07:38       94.784     26.856       94.786     26.858
08:08:39       94.944     27.060       94.945     27.062
