:Data_list: 20030303_G10xr_1m.txt
:Created: 2003 Mar 04 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-10
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-10 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2003 03 03  0000   52701      0     9.09e-09    5.57e-07
2003 03 03  0001   52701     60     9.09e-09    5.53e-07
2003 03 03  0002   52701    120     9.09e-09    5.52e-07
2003 03 03  0003   52701    180     9.09e-09    5.50e-07
2003 03 03  0004   52701    240     9.09e-09    5.48e-07
2003 03 03  0005   52701    300     9.09e-09    5.45e-07
2003 03 03  0006   52701    360     9.09e-09    5.51e-07
2003 03 03  0007   52701    420     9.79e-09    5.73e-07
2003 03 03  0008   52701    480     1.11e-08    6.05e-07
2003 03 03  0009   52701    540     1.10e-08    6.02e-07
2003 03 03  0010   52701    600     1.06e-08    5.92e-07
2003 03 03  0011   52701    660     9.22e-09    5.79e-07
2003 03 03  0012   52701    720     9.09e-09    5.64e-07
2003 03 03  0013   52701    780     8.93e-09    5.49e-07
2003 03 03  0014   52701    840     7.29e-09    5.38e-07
2003 03 03  0015   52701    900     7.19e-09    5.30e-07
2003 03 03  0016   52701    960     7.19e-09    5.22e-07
2003 03 03  0017   52701   1020     7.20e-09    5.16e-07
2003 03 03  0018   52701   1080     7.21e-09    5.14e-07
2003 03 03  0019   52701   1140     7.20e-09    5.11e-07
2003 03 03  0020   52701   1200     7.19e-09    5.08e-07
2003 03 03  0021   52701   1260     7.19e-09    5.11e-07
2003 03 03  0022   52701   1320     7.23e-09    5.15e-07
2003 03 03  0023   52701   1380     7.23e-09    5.15e-07
2003 03 03  0024   52701   1440     7.19e-09    5.12e-07
2003 03 03  0025   52701   1500     7.19e-09    5.11e-07
2003 03 03  0026   52701   1560     7.19e-09    5.14e-07
2003 03 03  0027   52701   1620     7.19e-09    5.14e-07
2003 03 03  0028   52701   1680     7.19e-09    5.15e-07
2003 03 03  0029   52701   1740     7.20e-09    5.15e-07
2003 03 03  0030   52701   1800     7.21e-09    5.15e-07
2003 03 03  0031   52701   1860     7.23e-09    5.15e-07
2003 03 03  0032   52701   1920     7.19e-09    5.15e-07
2003 03 03  0033   52701   1980     7.19e-09    5.15e-07
2003 03 03  0034   52701   2040     7.19e-09    5.19e-07
2003 03 03  0035   52701   2100     7.19e-09    5.24e-07
2003 03 03  0036   52701   2160     7.50e-09    5.34e-07
2003 03 03  0037   52701   2220     8.16e-09    5.42e-07
2003 03 03  0038   52701   2280     8.67e-09    5.47e-07
2003 03 03  0039   52701   2340     8.51e-09    5.47e-07
2003 03 03  0040   52701   2400     7.21e-09    5.40e-07
2003 03 03  0041   52701   2460     7.29e-09    5.37e-07
2003 03 03  0042   52701   2520     7.19e-09    5.36e-07
2003 03 03  0043   52701   2580     7.79e-09    5.39e-07
2003 03 03  0044   52701   2640     8.25e-09    5.44e-07
2003 03 03  0045   52701   2700     7.50e-09    5.44e-07
2003 03 03  0046   52701   2760     8.32e-09    5.47e-07
2003 03 03  0047   52701   2820     9.05e-09    5.51e-07
2003 03 03  0048   52701   2880     9.10e-09    5.55e-07
2003 03 03  0049   52701   2940     9.01e-09    5.54e-07
2003 03 03  0050   52701   3000     7.85e-09    5.51e-07
2003 03 03  0051   52701   3060     7.20e-09    5.44e-07
2003 03 03  0052   52701   3120     7.23e-09    5.41e-07
2003 03 03  0053   52701   3180     7.23e-09    5.36e-07
2003 03 03  0054   52701   3240     7.19e-09    5.34e-07
2003 03 03  0055   52701   3300     7.19e-09    5.34e-07
2003 03 03  0056   52701   3360     7.19e-09    5.33e-07
2003 03 03  0057   52701   3420     7.19e-09    5.29e-07
2003 03 03  0058   52701   3480     7.19e-09    5.23e-07
2003 03 03  0059   52701   3540     7.19e-09    5.22e-07
2003 03 03  0100   52701   3600     7.23e-09    5.20e-07
2003 03 03  0101   52701   3660     7.19e-09    5.15e-07
2003 03 03  0102   52701   3720     7.21e-09    5.17e-07
2003 03 03  0103   52701   3780     7.19e-09    5.20e-07
2003 03 03  0104   52701   3840     7.19e-09    5.19e-07
