:Data_list: 20070311_G11xr_1m.txt
:Created: 2007 Mar 12 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-11
# Location: W136
# Missing data: -1.00e+05
#
#         1-minute GOES-11 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2007 03 11  0000   54170      0     5.06e-09    3.73e-09
2007 03 11  0001   54170     60     5.07e-09    3.73e-09
2007 03 11  0002   54170    120     5.07e-09    3.73e-09
2007 03 11  0003   54170    180     5.07e-09    3.73e-09
2007 03 11  0004   54170    240     5.07e-09    3.73e-09
2007 03 11  0005   54170    300     5.07e-09    3.73e-09
2007 03 11  0006   54170    360     5.07e-09    3.73e-09
2007 03 11  0007   54170    420     5.07e-09    3.73e-09
2007 03 11  0008   54170    480     5.07e-09    3.73e-09
2007 03 11  0009   54170    540     5.07e-09    3.73e-09
2007 03 11  0010   54170    600     5.07e-09    3.73e-09
2007 03 11  0011   54170    660     5.09e-09    3.73e-09
2007 03 11  0012   54170    720     5.07e-09    3.73e-09
2007 03 11  0013   54170    780     5.07e-09    3.73e-09
2007 03 11  0014   54170    840     5.06e-09    3.73e-09
2007 03 11  0015   54170    900     5.06e-09    3.73e-09
2007 03 11  0016   54170    960     5.03e-09    3.73e-09
2007 03 11  0017   54170   1020     5.05e-09    3.73e-09
2007 03 11  0018   54170   1080     5.07e-09    3.73e-09
2007 03 11  0019   54170   1140     5.06e-09    3.73e-09
2007 03 11  0020   54170   1200     5.03e-09    3.73e-09
2007 03 11  0021   54170   1260     5.03e-09    3.73e-09
2007 03 11  0022   54170   1320     5.05e-09    3.73e-09
2007 03 11  0023   54170   1380     5.09e-09    3.73e-09
2007 03 11  0024   54170   1440     5.07e-09    3.73e-09
2007 03 11  0025   54170   1500     5.07e-09    3.73e-09
2007 03 11  0026   54170   1560     5.06e-09    3.73e-09
2007 03 11  0027   54170   1620     5.01e-09    3.73e-09
2007 03 11  0028   54170   1680     5.05e-09    3.73e-09
2007 03 11  0029   54170   1740     5.04e-09    3.73e-09
2007 03 11  0030   54170   1800     5.05e-09    3.73e-09
2007 03 11  0031   54170   1860     5.07e-09    3.77e-09
2007 03 11  0032   54170   1920     4.99e-09    3.73e-09
2007 03 11  0033   54170   1980     5.02e-09    3.73e-09
2007 03 11  0034   54170   2040     5.06e-09    3.73e-09
2007 03 11  0035   54170   2100     5.07e-09    3.73e-09
2007 03 11  0036   54170   2160     5.07e-09    4.69e-09
2007 03 11  0037   54170   2220     5.09e-09    1.46e-08
2007 03 11  0038   54170   2280     5.96e-09    2.58e-08
2007 03 11  0039   54170   2340     5.44e-09    2.78e-08
2007 03 11  0040   54170   2400     5.07e-09    2.24e-08
2007 03 11  0041   54170   2460     5.07e-09    2.13e-08
2007 03 11  0042   54170   2520     5.07e-09    2.13e-08
2007 03 11  0043   54170   2580     5.07e-09    1.58e-08
