:Data_list: 20100413_G12mag_1m.txt
:Created: 2010 Apr 14 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-12
# Location: W074
# Missing data: -1.00e+05
#
#         1-minute GOES-12 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2010 04 13  0000   55299      0     9.32e+01    4.88e+01   -2.58e+00    1.05e+02
2010 04 13  0001   55299     60     9.33e+01    4.90e+01   -2.47e+00    1.05e+02
2010 04 13  0002   55299    120     9.33e+01    4.91e+01   -2.69e+00    1.05e+02
2010 04 13  0003   55299    180     9.33e+01    4.90e+01   -2.81e+00    1.05e+02
2010 04 13  0004   55299    240     9.35e+01    4.90e+01   -2.81e+00    1.06e+02
2010 04 13  0005   55299    300     9.35e+01    4.91e+01   -2.80e+00    1.06e+02
2010 04 13  0006   55299    360     9.34e+01    4.91e+01   -2.92e+00    1.06e+02
2010 04 13  0007   55299    420     9.33e+01    4.92e+01   -2.89e+00    1.06e+02
2010 04 13  0008   55299    480     9.33e+01    4.93e+01   -2.60e+00    1.06e+02
2010 04 13  0009   55299    540     9.33e+01    4.92e+01   -2.36e+00    1.06e+02
2010 04 13  0010   55299    600     9.33e+01    4.92e+01   -2.51e+00    1.05e+02
2010 04 13  0011   55299    660     9.33e+01    4.93e+01   -2.79e+00    1.06e+02
2010 04 13  0012   55299    720     9.32e+01    4.95e+01   -2.60e+00    1.06e+02
2010 04 13  0013   55299    780     9.31e+01    4.94e+01   -2.29e+00    1.05e+02
2010 04 13  0014   55299    840     9.31e+01    4.91e+01   -2.40e+00    1.05e+02
2010 04 13  0015   55299    900     9.31e+01    4.90e+01   -2.62e+00    1.05e+02
2010 04 13  0016   55299    960     9.30e+01    4.90e+01   -2.62e+00    1.05e+02
2010 04 13  0017   55299   1020     9.30e+01    4.91e+01   -2.50e+00    1.05e+02
2010 04 13  0018   55299   1080     9.29e+01    4.90e+01   -2.36e+00    1.05e+02
2010 04 13  0019   55299   1140     9.29e+01    4.89e+01   -2.38e+00    1.05e+02
2010 04 13  0020   55299   1200     9.30e+01    4.89e+01   -2.42e+00    1.05e+02
2010 04 13  0021   55299   1260     9.29e+01    4.89e+01   -2.44e+00    1.05e+02
2010 04 13  0022   55299   1320     9.28e+01    4.89e+01   -2.37e+00    1.05e+02
2010 04 13  0023   55299   1380     9.27e+01    4.89e+01   -2.20e+00    1.05e+02
2010 04 13  0024   55299   1440     9.27e+01    4.89e+01   -2.13e+00    1.05e+02
2010 04 13  0025   55299   1500     9.27e+01    4.89e+01   -2.12e+00    1.05e+02
2010 04 13  0026   55299   1560     9.26e+01    4.88e+01   -2.16e+00    1.05e+02
2010 04 13  0027   55299   1620     9.26e+01    4.89e+01   -2.07e+00    1.05e+02
2010 04 13  0028   55299   1680     9.26e+01    4.90e+01   -2.04e+00    1.05e+02
2010 04 13  0029   55299   1740     9.26e+01    4.90e+01   -2.11e+00    1.05e+02
2010 04 13  0030   55299   1800     9.25e+01    4.91e+01   -2.12e+00    1.05e+02
2010 04 13  0031   55299   1860     9.25e+01    4.91e+01   -2.06e+00    1.05e+02
2010 04 13  0032   55299   1920     9.25e+01    4.90e+01   -1.97e+00    1.05e+02
2010 04 13  0033   55299   1980     9.25e+01    4.89e+01   -1.94e+00    1.05e+02
2010 04 13  0034   55299   2040     9.25e+01    4.89e+01   -1.95e+00    1.05e+02
2010 04 13  0035   55299   2100     9.25e+01    4.89e+01   -1.92e+00    1.05e+02
2010 04 13  0036   55299   2160     9.25e+01    4.88e+01   -1.83e+00    1.05e+02
2010 04 13  0037   55299   2220     9.24e+01    4.88e+01   -1.76e+00    1.04e+02
2010 04 13  0038   55299   2280     9.24e+01    4.88e+01   -1.79e+00    1.05e+02
2010 04 13  0039   55299   2340     9.24e+01    4.89e+01   -1.79e+00    1.05e+02
2010 04 13  0040   55299   2400     9.24e+01    4.89e+01   -1.78e+00    1.05e+02
2010 04 13  0041   55299   2460     9.24e+01    4.88e+01   -1.81e+00    1.05e+02
2010 04 13  0042   55299   2520     9.24e+01    4.87e+01   -1.77e+00    1.04e+02
2010 04 13  0043   55299   2580     9.23e+01    4.88e+01   -1.77e+00    1.04e+02
