:Data_list: 20100414_Gp_mag_1m.txt
:Created: 2010 Apr 15 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-13
# Location: W081
# Missing data: -1.00e+05
#
#         1-minute GOES-13 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2010 04 14  0000   55300      0     9.44e+01    4.23e+01   -1.87e+00    1.03e+02
2010 04 14  0001   55300     60     9.44e+01    4.21e+01   -1.78e+00    1.03e+02
2010 04 14  0002   55300    120     9.43e+01    4.21e+01   -1.82e+00    1.03e+02
2010 04 14  0003   55300    180     9.44e+01    4.21e+01   -1.70e+00    1.03e+02
2010 04 14  0004   55300    240     9.44e+01    4.19e+01   -1.59e+00    1.03e+02
2010 04 14  0005   55300    300     9.43e+01    4.19e+01   -1.67e+00    1.03e+02
2010 04 14  0006   55300    360     9.42e+01    4.19e+01   -1.73e+00    1.03e+02
2010 04 14  0007   55300    420     9.42e+01    4.18e+01   -1.66e+00    1.03e+02
2010 04 14  0008   55300    480     9.44e+01    4.18e+01   -1.58e+00    1.03e+02
2010 04 14  0009   55300    540     9.44e+01    4.16e+01   -1.43e+00    1.03e+02
2010 04 14  0010   55300    600     9.42e+01    4.16e+01   -1.38e+00    1.03e+02
2010 04 14  0011   55300    660     9.41e+01    4.17e+01   -1.44e+00    1.03e+02
2010 04 14  0012   55300    720     9.41e+01    4.17e+01   -1.35e+00    1.03e+02
2010 04 14  0013   55300    780     9.40e+01    4.17e+01   -1.31e+00    1.03e+02
2010 04 14  0014   55300    840     9.41e+01    4.17e+01   -1.27e+00    1.03e+02
2010 04 14  0015   55300    900     9.40e+01    4.16e+01   -1.27e+00    1.03e+02
2010 04 14  0016   55300    960     9.43e+01    4.18e+01   -1.31e+00    1.03e+02
2010 04 14  0017   55300   1020     9.43e+01    4.17e+01   -1.34e+00    1.03e+02
2010 04 14  0018   55300   1080     9.44e+01    4.18e+01   -1.40e+00    1.03e+02
2010 04 14  0019   55300   1140     9.43e+01    4.17e+01   -1.47e+00    1.03e+02
2010 04 14  0020   55300   1200     9.42e+01    4.18e+01   -1.46e+00    1.03e+02
2010 04 14  0021   55300   1260     9.42e+01    4.18e+01   -1.35e+00    1.03e+02
2010 04 14  0022   55300   1320     9.40e+01    4.18e+01   -1.36e+00    1.03e+02
2010 04 14  0023   55300   1380     9.37e+01    4.18e+01   -1.43e+00    1.03e+02
2010 04 14  0024   55300   1440     9.38e+01    4.19e+01   -1.45e+00    1.03e+02
2010 04 14  0025   55300   1500     9.37e+01    4.21e+01   -1.33e+00    1.03e+02
2010 04 14  0026   55300   1560     9.37e+01    4.21e+01   -1.26e+00    1.03e+02
2010 04 14  0027   55300   1620     9.38e+01    4.22e+01   -1.40e+00    1.03e+02
2010 04 14  0028   55300   1680     9.39e+01    4.22e+01   -1.63e+00    1.03e+02
2010 04 14  0029   55300   1740     9.40e+01    4.21e+01   -1.69e+00    1.03e+02
2010 04 14  0030   55300   1800     9.40e+01    4.20e+01   -1.62e+00    1.03e+02
2010 04 14  0031   55300   1860     9.41e+01    4.20e+01   -1.66e+00    1.03e+02
2010 04 14  0032   55300   1920     9.41e+01    4.20e+01   -1.72e+00    1.03e+02
2010 04 14  0033   55300   1980     9.40e+01    4.20e+01   -1.63e+00    1.03e+02
2010 04 14  0034   55300   2040     9.40e+01    4.20e+01   -1.61e+00    1.03e+02
2010 04 14  0035   55300   2100     9.39e+01    4.19e+01   -1.65e+00    1.03e+02
2010 04 14  0036   55300   2160     9.39e+01    4.19e+01   -1.67e+00    1.03e+02
2010 04 14  0037   55300   2220     9.37e+01    4.19e+01   -1.68e+00    1.03e+02
2010 04 14  0038   55300   2280     9.36e+01    4.20e+01   -1.62e+00    1.03e+02
2010 04 14  0039   55300   2340     9.36e+01    4.19e+01   -1.55e+00    1.03e+02
2010 04 14  0040   55300   2400     9.36e+01    4.20e+01   -1.55e+00    1.03e+02
2010 04 14  0041   55300   2460     9.35e+01    4.20e+01   -1.52e+00    1.03e+02
2010 04 14  0042   55300   2520     9.34e+01    4.19e+01   -1.49e+00    1.02e+02
2010 04 14  0043   55300   2580     9.33e+01    4.19e+01   -1.38e+00    1.02e+02
2010 04 14  0044   55300   2640     9.32e+01    4.19e+01   -1.33e+00    1.02e+02
2010 04 14  0045   55300   2700     9.31e+01    4.20e+01   -1.28e+00    1.02e+02
2010 04 14  0046   55300   2760     9.31e+01    4.20e+01   -1.28e+00    1.02e+02
2010 04 14  0047   55300   2820     9.31e+01    4.21e+01   -1.42e+00    1.02e+02
2010 04 14  0048   55300   2880     9.29e+01    4.21e+01   -1.57e+00    1.02e+02
2010 04 14  0049   55300   2940     9.26e+01    4.22e+01   -1.48e+00    1.02e+02
2010 04 14  0050   55300   3000     9.25e+01    4.22e+01   -1.39e+00    1.02e+02
2010 04 14  0051   55300   3060     9.24e+01    4.23e+01   -1.40e+00    1.02e+02
2010 04 14  0052   55300   3120     9.24e+01    4.24e+01   -1.43e+00    1.02e+02
