:Data_list: 20100414_Gs_mag_1m.txt
:Created: 2010 Apr 15 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Hp component = perpendicular to the satellite orbital plane or
#           parallel to the Earth's spin axis
# Label: He component = perpendicular to Hp and directed earthwards
# Label: Hn component = perpendicular to both Hp and He, directed eastwards
# Label: Total Field  = 
# Units: nanotesla (nT)
# Source: GOES-11
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-11 Geomagnetic Components and Total Field
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day        Hp          He          Hn    Total Field
#-------------------------------------------------------------------------------
2010 04 14  0000   55300      0     1.13e+02    1.36e+01    1.60e+01    1.14e+02
2010 04 14  0001   55300     60     1.12e+02    1.36e+01    1.61e+01    1.14e+02
2010 04 14  0002   55300    120     1.12e+02    1.37e+01    1.61e+01    1.14e+02
2010 04 14  0003   55300    180     1.12e+02    1.36e+01    1.60e+01    1.14e+02
2010 04 14  0004   55300    240     1.12e+02    1.36e+01    1.61e+01    1.14e+02
2010 04 14  0005   55300    300     1.13e+02    1.37e+01    1.62e+01    1.15e+02
2010 04 14  0006   55300    360     1.13e+02    1.38e+01    1.62e+01    1.15e+02
2010 04 14  0007   55300    420     1.13e+02    1.38e+01    1.62e+01    1.15e+02
2010 04 14  0008   55300    480     1.13e+02    1.38e+01    1.63e+01    1.15e+02
2010 04 14  0009   55300    540     1.13e+02    1.38e+01    1.63e+01    1.15e+02
2010 04 14  0010   55300    600     1.12e+02    1.37e+01    1.63e+01    1.14e+02
2010 04 14  0011   55300    660     1.12e+02    1.35e+01    1.63e+01    1.14e+02
2010 04 14  0012   55300    720     1.12e+02    1.34e+01    1.62e+01    1.14e+02
2010 04 14  0013   55300    780     1.12e+02    1.34e+01    1.63e+01    1.14e+02
2010 04 14  0014   55300    840     1.12e+02    1.34e+01    1.63e+01    1.14e+02
2010 04 14  0015   55300    900     1.12e+02    1.35e+01    1.63e+01    1.14e+02
