yyyy mm dd doy hh mm ss     H [nT]     D [nT]     Z [nT]     Proton [nT]
2023 07 10 191 00 00 00   29198.83    1750.98   39956.75   50579.40
2023 07 10 191 00 00 05   29198.76    1751.02   39956.76   50579.35
2023 07 10 191 00 00 10   29198.66    1751.11   39956.70   50579.34
2023 07 10 191 00 00 15   29198.61    1751.21   39956.65   50579.22
2023 07 10 191 00 00 20   29198.57    1751.27   39956.68   50579.12
2023 07 10 191 00 00 25   29198.56    1751.35   39956.68   50579.22
2023 07 10 191 00 00 30   29198.49    1751.41   39956.65   50579.16
2023 07 10 191 00 00 35   29198.39    1751.46   39956.57   50579.04
2023 07 10 191 00 00 40   29198.32    1751.52   39956.52   50578.97
2023 07 10 191 00 00 45   29198.29    1751.57   39956.50   50578.82
2023 07 10 191 00 00 50   29198.29    1751.60   39956.45   50578.85
2023 07 10 191 00 00 55   29198.25    1751.61   39956.43   50578.86
2023 07 10 191 00 01 00   29198.21    1751.59   39956.39   50578.72
2023 07 10 191 00 01 05   29198.13    1751.57   39956.38   50578.73
2023 07 10 191 00 01 10   29198.09    1751.53   39956.39   50578.70
2023 07 10 191 00 01 15   29198.09    1751.48   39956.42   50578.75
2023 07 10 191 00 01 20   29198.10    1751.43   39956.37   50578.68
2023 07 10 191 00 01 25   29198.07    1751.35   39956.38   50578.71
2023 07 10 191 00 01 30   29198.06    1751.28   39956.41   50578.61
2023 07 10 191 00 01 35   29198.04    1751.22   39956.43   50578.64
2023 07 10 191 00 01 40   29198.08    1751.19   39956.41   50578.70
2023 07 10 191 00 01 45   29198.11    1751.17   39956.42   50578.67
2023 07 10 191 00 01 50   29198.13    1751.17   39956.47   50578.76
2023 07 10 191 00 01 55   29198.14    1751.18   39956.44   50578.78
2023 07 10 191 00 02 00   29198.12    1751.21   39956.45   50578.72
2023 07 10 191 00 02 05   29198.13    1751.27   39956.40   50578.70
2023 07 10 191 00 02 10   29198.08    1751.24   39956.46   50578.69
2023 07 10 191 00 02 15   29198.08    1751.26   39956.44   50578.73
2023 07 10 191 00 02 20   29198.01    1751.24   39956.41   50578.64
2023 07 10 191 00 02 25   29197.96    1751.21   39956.40   50578.62
2023 07 10 191 00 02 30   29197.92    1751.17   39956.41   50578.53
2023 07 10 191 00 02 35   29197.90    1751.18   39956.37   50578.51
2023 07 10 191 00 02 40   29197.87    1751.20   39956.36   50578.53
2023 07 10 191 00 02 45   29197.88    1751.22   39956.32   50578.43
2023 07 10 191 00 02 50   29197.88    1751.23   39956.36   50578.48
2023 07 10 191 00 02 55   29197.89    1751.26   39956.36   50578.54
2023 07 10 191 00 03 00   29197.85    1751.27   39956.36   50578.46
2023 07 10 191 00 03 05   29197.82    1751.26   39956.33   50578.42
2023 07 10 191 00 03 10   29197.74    1751.25   39956.31   50578.41
2023 07 10 191 00 03 15   29197.69    1751.26   39956.29   50578.40
2023 07 10 191 00 03 20   29197.68    1751.27   39956.27   50578.28
2023 07 10 191 00 03 25   29197.71    1751.29   39956.27   50578.32
2023 07 10 191 00 03 30   29197.76    1751.29   39956.27   50578.34
2023 07 10 191 00 03 35   29197.82    1751.26   39956.26   50578.38
2023 07 10 191 00 03 40   29197.83    1751.21   39956.27   50578.46
2023 07 10 191 00 03 45   29197.78    1751.16   39956.36   50578.37
2023 07 10 191 00 03 50   29197.76    1751.12   39956.39   50578.42
2023 07 10 191 00 03 55   29197.77    1751.09   39956.43   50578.54
2023 07 10 191 00 04 00   29197.84    1751.13   39956.35   50578.44
2023 07 10 191 00 04 05   29197.84    1751.11   39956.32   50578.43
2023 07 10 191 00 04 10   29197.82    1751.08   39956.31   50578.46
2023 07 10 191 00 04 15   29197.80    1751.08   39956.34   50578.48
2023 07 10 191 00 04 20   29197.72    1751.09   39956.31   50578.35
2023 07 10 191 00 04 25   29197.65    1751.13   39956.26   50578.30
2023 07 10 191 00 04 30   29197.55    1751.19   39956.26   50578.29
2023 07 10 191 00 04 35   29197.47    1751.24   39956.23   50578.15
2023 07 10 191 00 04 40   29197.46    1751.30   39956.21   50578.20
2023 07 10 191 00 04 45   29197.44    1751.34   39956.20   50578.14
2023 07 10 191 00 04 50   29197.45    1751.37   39956.16   50578.08
2023 07 10 191 00 04 55   29197.44    1751.34   39956.13   50578.13
2023 07 10 191 00 05 00   29197.42    1751.29   39956.13   50578.04
2023 07 10 191 00 05 05   29197.39    1751.23   39956.16   50578.07
2023 07 10 191 00 05 10   29197.38    1751.18   39956.16   50578.09
2023 07 10 191 00 05 15   29197.37    1751.11   39956.19   50578.06
2023 07 10 191 00 05 20   29197.39    1751.06   39956.21   50578.01
2023 07 10 191 00 05 25   29197.41    1750.99   39956.24   50578.17
2023 07 10 191 00 05 30   29197.43    1750.93   39956.27   50578.16
2023 07 10 191 00 05 35   29197.46    1750.89   39956.30   50578.21
2023 07 10 191 00 05 40   29197.45    1750.88   39956.34   50578.31
2023 07 10 191 00 05 45   29197.43    1750.90   39956.27   50578.17
2023 07 10 191 00 05 50   29197.34    1750.94   39956.23   50578.08
2023 07 10 191 00 05 55   29197.27    1750.99   39956.22   50578.10
2023 07 10 191 00 06 00   29197.24    1751.04   39956.20   50577.96
2023 07 10 191 00 06 05   29197.24    1751.09   39956.16   50577.99
2023 07 10 191 00 06 10   29197.24    1751.10   39956.14   50577.92
2023 07 10 191 00 06 15   29197.21    1751.09   39956.13   50577.95
2023 07 10 191 00 06 20   29197.18    1751.07   39956.14   50577.91
2023 07 10 191 00 06 25   29197.16    1751.05   39956.12   50577.92
2023 07 10 191 00 06 30   29197.14    1751.02   39956.12   50577.87
2023 07 10 191 00 06 35   29197.13    1751.02   39956.12   50577.83
2023 07 10 191 00 06 40   29197.12    1751.01   39956.11   50577.88
2023 07 10 191 00 06 45   29197.11    1750.99   39956.11   50577.83
2023 07 10 191 00 06 50   29197.09    1750.97   39956.11   50577.79
2023 07 10 191 00 06 55   29197.12    1750.96   39956.12   50577.90
2023 07 10 191 00 07 00   29197.18    1750.94   39956.05   50577.86
2023 07 10 191 00 07 05   29197.21    1750.91   39956.01   50577.87
2023 07 10 191 00 07 10   29197.17    1750.86   39956.07   50577.82
