iyr mon day idy ihr min sec j1d j2d pH
2010  6  6 157  9 16 10.0    -2  7    -2.483
2010  6  6 157  9 31 10.0    -2  3    -2.600
2010  6  6 157 10  5 40.0    -5  2    -2.101
2010  6  6 157 10 41 40.0    -5  2    -3.225
2010  6  6 157 11  2 40.0    -1  4    -2.429
2010  6  6 157 11 53 40.0    -4  8    -3.738
2010  6  6 157 14  2 40.0    -2  7    -2.176
2010  6  6 157 14 52 10.0    -5  4    -2.271
2010  6  6 157 16 53 40.0    -3  8    -3.455
2010  6  6 157 17 17 40.0    -5  6    -3.526
2010  6  6 157 18 40 10.0    -3  4    -2.833
2010  6  6 157 19 22 10.0    -1  3    -2.879
