iyr mon idm doy ihr min sec power
 10  3 11  70  0  1 10.0   0.647E-03
 10  3 11  70  0  2 40.0   0.672E-03
 10  3 11  70  0  4 10.0   0.153E-03
 10  3 11  70  0  5 40.0   0.628E-03
 10  3 11  70  0  7 10.0   0.871E-03
 10  3 11  70  0  8 40.0   0.285E-03
 10  3 11  70  0 10 10.0   0.200E-03
 10  3 11  70  0 11 40.0   0.105E-02
 10  3 11  70  0 13 10.0   0.108E-02
 10  3 11  70  0 14 40.0   0.490E-03
 10  3 11  70  0 16 10.0   0.172E-03
 10  3 11  70  0 17 40.0   0.254E-03
 10  3 11  70  0 19 10.0   0.143E-03
 10  3 11  70  0 20 40.0   0.256E-03
 10  3 11  70  0 22 10.0   0.645E-03
 10  3 11  70  0 23 40.0   0.479E-03
 10  3 11  70  0 25 10.0   0.362E-03
 10  3 11  70  0 26 40.0   0.167E-03
 10  3 11  70  0 28 10.0   0.459E-03
 10  3 11  70  0 29 40.0   0.160E-02
 10  3 11  70  0 31 10.0   0.167E-02
 10  3 11  70  0 32 40.0   0.494E-03
 10  3 11  70  0 34 10.0   0.195E-03
 10  3 11  70  0 35 40.0   0.330E-04
 10  3 11  70  0 37 10.0   0.625E-04
 10  3 11  70  0 38 40.0   0.281E-03
 10  3 11  70  0 40 10.0   0.500E-03
 10  3 11  70  0 41 40.0   0.114E-02
 10  3 11  70  0 43 10.0   0.121E-02
 10  3 11  70  0 44 40.0   0.104E-02
 10  3 11  70  0 46 10.0   0.450E-03
 10  3 11  70  0 47 40.0   0.172E-03
 10  3 11  70  0 49 10.0   0.159E-03
 10  3 11  70  0 50 40.0   0.162E-03
 10  3 11  70  0 52 10.0   0.397E-03
 10  3 11  70  0 53 40.0   0.620E-03
 10  3 11  70  0 55 10.0   0.252E-03
 10  3 11  70  0 56 40.0   0.349E-03
 10  3 11  70  0 58 10.0   0.183E-03
 10  3 11  70  0 59 40.0   0.812E-04
 10  3 11  70  1  1 10.0   0.246E-03
 10  3 11  70  1  2 40.0   0.581E-04
 10  3 11  70  1  4 10.0   0.259E-03
 10  3 11  70  1  5 40.0   0.640E-03
 10  3 11  70  1  7 10.0   0.542E-03
 10  3 11  70  1  8 40.0   0.114E-03
 10  3 11  70  1 10 10.0   0.721E-04
 10  3 11  70  1 11 40.0   0.156E-03
