#Aurora Hemispheric Power Tabular Values
# Product: Ovation Aurora Short Term Forecast    http://services.swpc.noaa.gov/text/aurora-nowcast-hemi-power.txt
# Timestamp is the valid time of a 30 minute forecast
# This file contains data for 2023-07-13
#
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center.
# Please send comments and suggestions to SWPC.CustomerSupport@noaa.gov
#
# Missing Data:  (n/a)
# Cadence:   5 minutes
#
# Tabular Data Format
#
# Observation        Forecast            North-Hemispheric-Power-Index    South-Hemispheric-Power-Index-GigaWatts
# YYYY-MM-DD_HH:MM   YYYY-MM-DD_HH:MM    GigaWatts    			  GigaWatts
#------------------------------------------------------------------------------------------------
2023-07-13_00:00    2023-07-13_01:24      14      14
2023-07-13_00:05    2023-07-13_01:29      14      14
2023-07-13_00:10    2023-07-13_01:33      13      14
2023-07-13_00:15    2023-07-13_01:38      13      13
2023-07-13_00:20    2023-07-13_01:43      12      12
2023-07-13_00:25    2023-07-13_01:47      12      12
2023-07-13_00:30    2023-07-13_01:52      12      12
2023-07-13_00:35    2023-07-13_01:57      12      12
2023-07-13_00:40    2023-07-13_02:02      12      12
2023-07-13_00:45    2023-07-13_02:07      12      12
2023-07-13_00:50    2023-07-13_02:12      12      12
2023-07-13_00:55    2023-07-13_02:17      12      12
2023-07-13_01:00    2023-07-13_02:22      12      13
2023-07-13_01:05    2023-07-13_02:27      12      12
2023-07-13_01:10    2023-07-13_02:32      12      12
2023-07-13_01:15    2023-07-13_02:36      11      11
2023-07-13_01:20    2023-07-13_02:42      11      11
2023-07-13_01:25    2023-07-13_02:46      11      11
2023-07-13_01:30    2023-07-13_02:51      11      11
2023-07-13_01:35    2023-07-13_02:56      11      11
2023-07-13_01:40    2023-07-13_03:01      11      11
2023-07-13_01:45    2023-07-13_03:06      11      11
2023-07-13_01:50    2023-07-13_03:11      11      11
2023-07-13_01:55    2023-07-13_03:16      11      11
2023-07-13_02:00    2023-07-13_03:21      11      11
2023-07-13_02:05    2023-07-13_03:27      11      11
2023-07-13_02:10    2023-07-13_03:32      11      11
2023-07-13_02:15    2023-07-13_03:37      11      11
2023-07-13_02:20    2023-07-13_03:42      11      11
2023-07-13_02:25    2023-07-13_03:47      10      10
2023-07-13_02:30    2023-07-13_03:52      10      10
2023-07-13_02:35    2023-07-13_03:57      11      10
2023-07-13_02:40    2023-07-13_04:03      11      10
2023-07-13_02:45    2023-07-13_04:08      11      11
